text,arena
"फार्मेसी व्यवसाय दर्ता कसरी हुन्छ?",Pharmacy Act
"फार्मेसी परिषद् मा कति वर्षको लाइसेन्स नवीकरण गर्नुपर्छ?",Pharmacy Act
"pharmacy license kasari linu parcha?",Pharmacy Act
"pharmacy council le license dina ke ke criteria chahinxa?",Pharmacy Act
"दवाई पसल सञ्चालन गर्न के–के मापदण्ड चाहिन्छ?",Pharmacy Act

"खोप ऐन, २०७२ कहिले लागू भयो?",Immunization Act
"खोप कार्यक्रम को जिम्मेवारी कसको हुन्छ?",Immunization Act
"immunization schedule kasari banauxan?",Immunization Act
"खोप लगाउने उमेर र मापदण्डबारे जानकारी दिनुहोस्।",Immunization Act
"खोप सम्बन्धि कानुनी दायित्व के-के छन्?",Immunization Act

"नेपालको संविधानले स्वास्थ्य अधिकारबारे के भन्छ?",Constitution of Nepal
"fundamental rights health sambandhi barema bataidinuhos",Constitution of Nepal
"संविधानमा नागरिकको स्वास्थ्य सेवामा पहुँचबारे के व्यवस्था छ?",Constitution of Nepal
"public health sambandhi constitutional provision kei cha?",Constitution of Nepal
"nepali nagrita lina k garna parxa?",Constitution of Nepal
"nepali nagrita kasari lina sakinxa?",Constitution of Nepal
"citizenship ko lagi ke kyaida chan?",Constitution of Nepal
"नागरिकता लिने कानुनी प्रक्रिया के हो?",Constitution of Nepal
"citizenship sambandhi byabastha kasari cha?",Constitution of Nepal
"who can get nepali citizenship?",Constitution of Nepal
"नेपालको संविधानमा नागरिकता सम्बन्धी के व्यवस्था छ?",Constitution of Nepal
"नागरिकता प्राप्तिको मापदण्ड के–के छन्?",Constitution of Nepal

"एकल महिलाको अधिकार के–के छन्?",Single Women Act
"single women lai kasto sahayog dine vaneko xa?",Single Women Act
"एकल महिला भत्ता कसरी पाउने?",Single Women Act
"एकल महिलामाथि हुने हिंसाबारे कानुनी सुरक्षा के छ?",Single Women Act

"राष्ट्रिय खेलकुद परिषद् सम्बन्धी व्यवस्था के हुन्?",Sports Act
"sports development kina chahinxa?",Sports Act
"खेलाडीहरूको हक अधिकार के-कस्ता छन्?",Sports Act
"खेलकुद संघ दर्ता कसरी गर्ने?",Sports Act